TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial73,2,1,0.0,0.0,-5.806884764328783,-0.7478498003253431,-0.7478498003253431,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,2,3,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,2,4,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,2,5,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,2,6,1.0,1.0,-20.094699916353385,-2.0364856148964003,-2.036485614896401,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,2,7,1.0,1.0,0.2036415940193874,-0.2057529543500313,-0.2057529543500312,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,2,8,1.0,1.0,-13.489815302536668,-1.4407828588128375,-1.4407828588128375,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,2,9,1.0,1.0,13.257547206912932,0.9715950245969888,0.9715950245969888,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,2,10,1.0,1.0,15.915510948451884,1.2113200794590704,1.2113200794590706,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,3,1,0.0,0.0,4.437690469482732,0.1761211785045804,0.1761211785045804,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,3,2,0.0,0.0,5.431880317400218,0.2657883971015319,0.2657883971015319,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,3,3,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,3,4,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,3,5,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,3,6,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,3,7,1.0,1.0,7.050621214464217,0.4117846514114126,0.4117846514114126,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,3,8,1.0,1.0,11.179952615179102,0.7842141850087906,0.7842141850087906,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,3,9,1.0,1.0,22.98050806640628,1.8485209544121075,1.8485209544121075,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,3,10,1.0,1.0,-4.531513806770004,-0.6328225078186128,-0.6328225078186128,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,4,1,2.0,0.0,2.7721769654461563,0.0259064446130138,0.0259064446130138,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,2,2.0,0.0,1.3278770480039632,-0.1043567608382619,-0.1043567608382619,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,3,2.0,0.0,-7.561234269780141,-0.9060767636465544,-0.9060767636465544,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,4,2.0,0.0,6.501916027895756,0.3622962483540131,0.3622962483540131,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,5,2.0,0.0,12.63892971914684,0.9158011441629744,0.9158011441629744,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,6,2.0,0.0,9.451222614887566,0.6282978767142058,0.6282978767142058,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,7,2.0,0.0,13.719021827746763,1.0132159944649963,1.0132159944649963,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,4,8,1.0,1.0,-26.325217211276,-2.5984237169864155,-2.5984237169864155,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,4,9,1.0,1.0,16.35549118186009,1.251002443798226,1.251002443798226,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,4,10,1.0,1.0,1.7869433251090254,-0.062953002485778,-0.062953002485778,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial73,5,1,2.0,0.0,6.118367001825373,0.3277034847733542,0.3277034847733542,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,5,2,2.0,0.0,16.954321377767943,1.3050116837752788,1.3050116837752788,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial73,5,3,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,4,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,5,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,6,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,7,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,8,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,9,,,,,,,,,,,,,,,,,,,,,,,,
Trial73,5,10,,,,,,,,,,,,,,,,,,,,,,,,
